肉苁蓉,"['肉松蓉', '黑司令', '纵蓉', '地精', '马足', '马芝', '大芸', '寸芸']"
花蕊石,"['花乳石', '白云石']"
苍术,"['山精', '赤术', '马蓟', '青术', '仙术']"
苏木,"['苏枋', '苏方', '苏方木', '棕木', '赤木', '红柴', '红苏木', '落文树']"
茜草,"['茹藘', '茹卢本', '茅蒐', '藘茹', '蒐', '茜根', '蒨草', '地血', '牛蔓', '芦茹', '血见愁', '过山龙', '地苏木', '活血丹', '红龙须根', '沙茜秧根', '五爪龙', '满江红', '九龙根', '红棵子根', '拉拉秧子根', '小活血龙', '土丹参', '四方红根子', '红茜根', '入骨丹', '红内消']"
茯苓,"['茯菟', '松腴', '不死面', '松薯', '松木薯', '松苓']"
莪术,"['蓬莪茂', '蓬药', '蓬莪术', '广茂', '蓬术', '青姜', '羌七', '广术', '黑心姜', '文术。']"
菟丝子,"['菟丝实', '吐丝子', '无娘藤米米', '黄藤子', '龙须子', '萝丝子', '黄网子', '黄萝子', '豆须子', '缠龙子', '黄丝子']"
蒲公英,"['凫公英', '蒲公草', '耩褥草', '仆公英', '仆公罂', '地丁', '金簪草', '孛孛丁菜', '黄花苗', '黄花郎', '鹁鸪英', '婆婆丁', '白鼓丁', '黄花地丁', '蒲公丁', '真痰草', '狗乳草', '奶汁草', '残飞坠', '黄狗头', '卜地蜈蚣', '鬼灯笼', '羊奶奶草', '双英卜地', '黄花草', '古古丁']"
薏苡仁,"['解蠡', '起英', '赣米', '感米', '薏珠子', '回回米', '草珠儿', '赣珠', '薏米', '米仁', '薏仁', '苡仁', '玉秣', '六谷米', '珠珠米', '药玉米', '水玉米', '沟子米', '裕米', '益米']"
薤白,"['薤根', '藠子', '野蒜', '小独蒜', '薤白头']"
藿香,"['土藿香', '猫把', '青茎薄荷', '排香草', '大叶薄荷', '绿荷荷', '川藿香', '苏藿香', '野藿香', '猫尾巴香', '猫巴虎', '拉拉香', '八蒿', '鱼香', '鸡苏', '水麻叶']"
蜈蚣,"['蝍蛆', '吴公', '天龙', '百脚', '百足虫', '千足虫']"
血竭,"['骐驎竭', '海蜡', '麒麟血', '木血竭']"
西洋参,"['西洋人参', '洋参', '西参', '花旗参', '广东人参']"
赤芍,"['木芍药', '赤芍药', '红芍药', '草芍药。']"
