天花粉,"['栝楼根', '白药', '瑞雪', '天瓜粉', '花粉', '屎瓜根', '栝蒌粉', '萎粉']"
太子参,"['孩儿参', '童参', '双批\n七', '四叶参', '米参']"
女贞子,"['女贞实', '冬青子', '爆格蚤', '白蜡树子', '鼠梓子']"
丽江山慈菇,"['益辟坚', '草贝母', '土贝母', '闹狗药', '光慈菇', '苦子', '光苦子', '光姑子']"
山慈菇,"['金灯花', '鹿蹄草', '山茨菇', '慈姑', '山慈姑', '毛慈姑', '泥冰子', '算盘七', '人头七', '太白及', '水球子', '泥宾子', '采配兰']"
山慈菇叶,['']
山楂根,['']
山楂核,['']
山楂叶,['']
山楂木,['赤爪木']
山楂,"['朹', '檕梅', '朹子', '鼠查', '羊梂', '赤爪实', '棠梂子', '赤枣子', '山里红果', '酸枣', '鼻涕团', '柿樝子', '山里果子', '茅樝', '猴樝', '映山红果', '海红', '酸梅子', '山梨', '酸查', '野山楂', '小叶山楂', '山果子。']"
红山药,"['粘薯', '红孩儿', '野红薯', '羊角山药', '草巴山药', '苦山药', '盘薯']"
山药藤,['']
山药,"['藷藇', '署预', '薯蓣', '山芋', '诸署', '署豫', '玉延', '修脆', '藷', '山藷', '王藷', '薯药', '怀山药', '蛇芋', '白苕', '九黄姜', '野白薯', '山板薯', '扇子薯', '佛掌薯']"
藏山药,['山药']
川楝子,"['楝实', '练实', '金铃子', '仁枣', '苦楝子', '楝子', '石茱萸', '楝树果', '川楝树子', '川楝实。']"
川牛膝,"['牛膝', '天全牛膝', '都牛膝', '米心\n牛膝', '家牛膝', '肉牛膝', '大牛膝', '拐牛膝', '甜牛膝', '甜川牛膝', '龙牛\n膝']"
川芎,"['山鞠穷', '芎藭', '香果', '胡藭', '马衔', '芎藭', '雀脑芎', '京芎', '贯芎', '抚芎', '台芎', '西芎']"
齿瓣延胡索,"['蓝雀花', '蓝花菜。']"
延胡索,"['延胡', '玄胡索', '元胡索', '元胡。']"
新疆延胡索,"['西延胡索', '延胡索', '元胡。']"
东北延胡索,"['延胡索', '蓝花菜', '蓝花豆。']"
乌当归,"['岩当归', '差风', '光头差风']"
甘肃土当归,['九眼独活']
当归藤,"['大力王', '筛其蔃', '虎\n尾草', '千里香', '土当归', '保妇蔃', '走马胎', '土\n丹桂', '小箭赶风', '米筛藤']"
欧当归,['']
隆萼当归根,['土当归']
当归,"['干归', '马尾当归', '秦哪', '马尾归', '云归', '西当归', '岷当归']"
疏叶当归,"['疏叶独活', '红果当归', '猪独活', '骚羌活']"
朝鲜当归,['土当归']
血当归,"['牛西西', '乳突叶酸模', '红筋大\n黄', '金不换', '土大黄', '止血草', '化血莲', '散血七', '血丝大黄']"
东当归,"['当归', '延边当早归', '朝鲜当归', '大和当归', '日本当归']"
狭叶当归,['水大活']
旋覆花根,['']
旋覆花,"['蕧', '盗庚', '盛椹', '戴椹', '飞天蕊', '金钱花', '野油花', '滴滴金', '夏菊', '金钱菊', '艾菊', '迭罗黄', '满天星', '六月菊', '黄熟花', '水葵花', '金盏花', '复花', '小黄花', '猫耳朵花', '驴耳朵花', '金沸花', '伏花', '全福花']"
杏仁,"['杏核仁', '杏子', '木落子', '苦杏仁', '杏梅仁', '杏', '甜梅。']"
巴旦杏仁,"['八担仁', '巴达杏仁', '叭哒杏仁', '巴旦杏', '偏桃', '婆淡树', '偏核桃', '匾桃', '忽鹿麻', '京杏。']"
枇杷叶,"['巴叶', '枇杷', '蜜枇杷叶', '炙枇杷叶', '芦桔叶']"
枇杷叶露,['枇杷露']
金背枇杷叶,['']
山枇杷叶,['']
枳壳,['']
枸杞叶,"['地仙苗', '甜菜', '枸杞尖', '天精草', '枸杞苗', '枸杞菜', '枸杞头']"
枸杞子,"['苟起子', '枸杞红实', '甜菜子', '西枸杞', '狗奶子', '红青椒', '枸蹄子', '枸杞果', '地骨子', '枸茄茄', '红耳坠', '血枸子', '枸地芽子', '枸杞豆', '血杞子', '津枸杞']"
柴胡叶链荚豆,['']
毛柴胡,"['枪刀菜', '毛牛耳大黄']"
柴胡,"['地熏', '茈胡', '山菜', '茹草', '柴草']"
银柴胡,"['银夏柴胡', '银胡', '牛肚根', '沙参儿', '白根子', '土参']"
奶浆柴胡,"['竹叶青', '岔子菜', '小粘连', '细防风']"
山银柴胡,['']
栀子根,['']
栀子,"['木丹', '鲜支', '卮子', ' 支子', '越桃', '山栀子', '枝子', '小卮子', '黄鸡子', ' 黄荑子', '黄栀子', '黄栀', '山黄栀', '山栀']"
小果栀子,"['水黄枝', '水栀']"
栀子花,"['薝卜花', '山栀花', '野桂花', '白蟾花', '雀舌花', '玉瓯花', '玉荷花']"
栀子叶,['黄枝叶']
桂枝,['柳桂']
桃仁,"['桃核仁', '桃核人']"
山核桃仁,['']
野核桃仁,['']
胡桃仁,"['虾蟆', '胡桃穰', '胡桃肉', '核桃仁']"
马桑叶,"['马桑', '醉鱼草', '鱼尾草', '扶桑', '闹鱼儿', '蛤蟆树', '上天梯', '蓝蛇风。']"
桑叶,"['铁扇子', '蚕叶']"
桑叶汁,"['桑滋干', '桑叶滋', '桑脂']"
桑叶露,['']
扶桑叶,['']
鸡桑叶,['']
桑枝,['桑条']
水马桑枝叶,['杨栌木叶']
桑椹酒,['']
桑椹子,"['桑实', '葚', '乌椹', '文武实', '黑椹', '桑枣', '桑葚\n子', '桑粒', '桑果']"
桑白皮,"['桑根白皮', '白桑皮桑桑皮', '根皮']"
桔梗,"['符蔰', '白药', '利如', '梗草', '卢茹', '房图', '荠世纪', '苦梗', '苦桔梗', '大药', '苦菜根']"
款冬花,"['冬花', '款花', '看灯花', '艾冬花', '九九花']"
土沙参,"['止咳草', '咳嗽草', '泡参', '土洋参', '鸡肉参', '喉节草']"
北沙参,['真北沙参；海沙参；根条参；菜阳参；辽沙参；野香菜根']
